playerDefensiveAbilityId,birthId,organizationId,tackles,tacklesWon,cards_yellow,cards_red
190,210,43,0,0,0,0
130,402,43,5,5,0,0
23,611,43,68,47,8,1
13,587,43,43,29,3,0
1088,118,44,60,35,10,0
1058,174,44,48,32,3,0
1038,487,44,16,9,2,0
966,246,44,22,12,4,0
936,517,44,34,26,4,0
821,382,44,44,27,9,0
801,652,44,26,15,5,0
634,101,44,0,0,0,0
630,359,44,15,9,7,0
623,135,44,41,22,6,1
620,525,44,29,13,0,0
570,243,44,2,0,0,0
559,460,44,49,33,7,2
152,381,44,49,28,8,0
10,314,44,19,12,4,0
1049,346,45,0,0,0,0
902,347,45,10,9,0,0
290,572,45,23,8,0,0
289,572,45,1,1,0,0
231,203,45,29,21,3,0
1001,93,46,65,41,6,0
906,575,46,14,8,0,0
873,0,46,35,24,2,0
793,419,46,20,10,4,0
726,673,46,0,0,0,0
663,311,46,35,20,3,0
632,548,46,10,10,4,0
539,34,46,26,16,4,0
538,34,46,3,3,4,0
409,513,46,32,21,0,0
329,451,46,62,39,2,0
259,325,46,7,4,1,0
258,325,46,7,4,1,0
257,325,46,3,1,1,0
256,325,46,3,1,1,0
86,491,46,29,21,5,0
59,2,46,58,39,5,1
57,55,46,12,8,5,1
29,565,46,67,47,8,0
1100,518,47,58,44,8,0
1074,566,47,8,5,2,0
954,638,47,46,26,7,0
918,189,47,48,28,9,1
917,194,47,47,34,6,1
913,272,47,17,12,4,0
909,458,47,62,32,4,0
884,514,47,5,3,1,0
883,514,47,7,5,1,0
841,174,47,7,6,1,0
777,499,47,37,17,3,1
776,499,47,16,10,3,1
764,356,47,14,10,1,1
722,189,47,2,1,2,1
672,487,47,0,0,1,0
603,517,47,16,11,2,0
583,132,47,17,11,4,0
578,582,47,55,34,10,0
370,487,47,4,4,4,1
369,487,47,10,8,4,1
242,142,47,15,13,2,0
126,447,47,28,15,8,0
1122,614,48,39,22,5,0
1014,543,48,50,33,2,0
868,460,48,52,33,2,0
773,103,48,14,7,4,0
681,536,48,0,0,1,0
580,553,48,47,25,8,1
568,612,48,18,8,3,0
513,107,48,35,19,5,0
419,533,48,25,16,10,0
158,522,48,34,25,2,0
106,522,48,69,45,8,0
96,207,48,48,27,6,0
90,245,48,63,37,5,1
82,460,48,17,6,0,0
81,460,48,0,0,0,0
37,53,48,29,18,1,0
1109,626,49,34,17,2,1
817,487,49,19,14,3,0
815,165,49,52,33,4,0
622,95,49,27,24,7,0
612,282,49,0,0,0,0
354,579,49,52,34,5,0
330,601,49,69,41,10,1
287,418,49,15,11,0,0
274,527,49,12,7,8,0
87,212,49,50,25,6,0
33,623,49,3,1,0,0
8,618,49,20,13,6,0
1129,127,50,19,13,2,1
1117,645,50,31,17,3,0
1113,484,50,25,15,1,0
1008,530,50,32,22,2,0
974,90,50,12,9,3,0
973,90,50,7,4,3,0
752,476,50,8,2,0,0
745,496,50,40,24,8,0
617,261,50,48,23,5,0
556,140,50,66,35,4,0
506,342,50,34,20,8,1
498,424,50,5,3,2,0
497,424,50,19,15,2,0
468,305,50,14,10,0,0
467,305,50,9,6,0,0
208,294,50,17,11,0,0
143,293,50,4,3,0,0
74,239,50,4,3,3,0
73,239,50,4,3,3,0
51,455,50,33,22,2,0
1099,500,51,9,3,2,0
1098,500,51,2,0,2,0
965,617,51,2,2,0,1
856,48,51,37,25,4,0
819,549,51,26,17,2,0
790,344,51,63,36,5,0
569,198,51,33,21,4,0
534,320,51,9,4,0,0
446,0,51,58,36,4,0
405,432,51,49,28,5,0
321,204,51,28,17,3,0
283,284,51,0,0,0,0
229,416,51,28,16,0,0
164,541,51,43,28,9,0
163,473,51,12,8,0,0
835,373,52,51,32,6,0
737,659,52,15,13,2,0
713,160,52,2,1,0,0
676,518,52,30,18,2,0
447,101,52,24,16,2,0
122,634,52,11,6,3,0
121,634,52,19,8,3,0
72,239,52,4,3,3,0
71,239,52,4,3,3,0
