assists,dribbles,sca,sca90,pass_targets,miscontrols,dispossessed,fouled,fbrefId,playerFullName,ca,vis,ldr,pas,dri,agi,cnt,city,country,position,squad,comp,id
7,43,104,3.09,1288,18,32,31,1b84dbe1,Lucas Digne,149,12,8,13,13,15,12,Meaux,France,"DF (FB, left)",Everton,1. Premier League,102
2,53,52,2.21,1656,20,25,44,1bacc518,Frenkie de Jong,164,18,12,16,16,16,15,Arkel,Netherlands,DF-MF (CM),Barcelona,1. La Liga,103
7,25,70,2.63,1064,51,35,27,1bda5842,Portu,144,15,13,14,12,12,14,Murcia,Spain,"FW-MF (AM-DM, right)",Real Sociedad,1. La Liga,104
4,101,79,4.13,1122,49,65,38,1bf33a9a,Christian Pulisic,150,14,7,12,16,17,10,Easton,Pennsylvania,FW-MF (AM),Chelsea,1. Premier League,105
3,53,47,1.24,1351,19,28,21,1c7012b8,Declan Rice,138,12,13,13,12,13,13,London,England,DF-MF (DM),West Ham,1. Premier League,106
0,0,1,5.29,15,0,0,1,1cadaf34,Roberto Piccoli,98,8,12,8,16,9,6,Bergamo,Italy,FW,Atalanta,1. Serie A,107
0,2,11,0.57,1068,3,2,11,1cb49278,Andreas Christensen,147,10,14,14,10,11,13,Lillerød,Denmark,DF (CB),Chelsea,1. Premier League,108
1,13,15,3.55,132,5,7,4,1cbe4984,Paulo Otávio,117,10,8,11,13,13,11,Ourinhos,Brazil,"DF (FB, left)",Wolfsburg,1. Bundesliga,109
0,4,2,0.64,140,2,7,5,1d0bb7e4,Bosko Sutalo,107,9,9,11,12,12,12,Metković,Croatia,DF,Atalanta,1. Serie A,110
1,13,10,2.62,142,3,5,4,1d1691ad,Álvaro Odriozola,154,11,9,13,14,14,14,San Sebastian,Spain,"DF (FB, right)",Real Madrid,1. La Liga,111
0,6,5,2.96,116,6,3,1,1d1691ad,Álvaro Odriozola,154,11,9,13,14,14,14,San Sebastian,Spain,"DF (FB, right)",Bayern Munich,1. Bundesliga,112
0,6,7,0.57,608,2,3,12,1d8e9add,Kevin Vogt,139,10,14,14,8,8,13,Witten,Germany,DF-MF (CB-DM),Werder Bremen,1. Bundesliga,113
0,4,4,0.37,694,1,3,10,1d8e9add,Kevin Vogt,139,10,14,14,8,8,13,Witten,Germany,DF-MF (CB-DM),Hoffenheim,1. Bundesliga,114
5,48,93,2.59,1350,65,43,76,1daec722,Marc Cucurella,139,13,13,13,11,14,13,Alella,Spain,"DF-MF (WM, left)",Getafe,1. La Liga,115
4,26,67,2.88,845,22,18,20,1ea5f91c,Jakub Jankto,131,13,10,13,12,15,12,Prague,Czech Republic,"MF (WM, left)",Sampdoria,1. Serie A,116
3,36,32,2.24,566,28,29,19,1ecb65be,Theo Walcott,131,9,7,12,14,15,12,Stanmore,England,"FW-MF (AM-WM, right)",Everton,1. Premier League,117
4,13,24,1.15,643,15,14,25,1ef37668,Erik Pieters,128,12,13,11,12,11,14,Gemeente Tiel,Netherlands,"DF-MF (CB-FB, left)",Burnley,1. Premier League,118
2,50,29,1.37,1034,23,24,24,1f079188,Rubén Peña,138,13,7,13,14,13,12,Ávila,Spain,"DF-MF (FB-WM, right)",Villarreal,1. La Liga,119
2,27,25,2.12,467,32,13,8,1f44ac21,Erling Haaland,166,13,12,12,13,14,13,Leeds,England,FW,Dortmund,1. Bundesliga,120
7,41,44,2.11,1047,52,23,31,1fb1c435,Rodrigo,154,14,5,14,15,16,9,Rio de Janeiro,Brazil,FW-MF,Valencia,1. La Liga,121
0,0,0,0.0,40,0,1,1,1fda91b3,Melayro Bogarde,82,11,5,10,6,14,8,Rotterdam,Netherlands,DF,Hoffenheim,1. Bundesliga,122
1,10,37,1.25,791,14,16,44,1fe0492d,Rubén Duarte,129,12,13,13,9,13,13,Almería,Spain,"DF (FB, left)",Alavés,1. La Liga,123
0,2,2,0.32,159,3,2,3,1fe67e86,Mikel Balenziaga,133,9,9,11,11,12,14,Zumarraga,Spain,"DF (FB, left)",Athletic Club,1. La Liga,124
0,4,13,1.37,464,4,2,10,20030c06,Willi Orban,138,9,14,12,7,11,15,Kreisfreie Stadt Kaiserslautern,Germany,DF (CB),RB Leipzig,1. Bundesliga,125
0,45,19,3.87,272,15,12,5,200e89e1,Ander Barrenetxea,137,14,10,13,14,14,14,San Sebastian,Spain,MF,Real Sociedad,1. La Liga,126
1,63,59,3.78,779,33,30,19,20730eae,Rafael Leão,148,13,8,13,16,15,10,Almada,Portugal,FW-MF,Milan,1. Serie A,127
1,9,20,2.58,332,2,3,8,20b3a502,Nicolás Domínguez,135,14,9,15,11,14,14,Mariano J. Haedo,Argentina,MF (CM-DM),Bologna,1. Serie A,128
0,0,2,0.06,526,1,0,2,20b9f052,Pau López,147,10,12,14,3,15,15,Girona,Spain,GK,Roma,1. Serie A,129
1,24,28,1.55,916,13,10,23,2146785a,Davide Calabria,139,10,9,12,12,16,11,Brescia,Italy,"DF-MF (FB, right)",Milan,1. Serie A,130
4,21,69,3.14,890,15,8,14,21512407,Kieran Trippier,142,13,11,13,11,13,12,Bury,England,"DF-MF (FB, right)",Atlético Madrid,1. La Liga,131
0,10,5,0.39,468,1,3,3,217875a4,Sebastian Walukiewicz,113,13,6,12,8,12,12,Gorzów Wielkopolski,Poland,"DF (CB, right)",Cagliari,1. Serie A,132
0,3,0,0.0,11,1,0,0,217c93a1,Lazar Samardzic,95,12,2,7,14,13,7,Berlin,Germany,MF,Hertha BSC,1. Bundesliga,133
