id,player,games,minutes
372,John Stones,16,1122
373,Matteo Lovato,1,9
374,Stefano Okaka,33,2415
375,Marcelo,15,1296
376,José Campaña,37,3156
377,Joselu,36,2782
378,Raphael Framberger,18,1175
379,Yannick Gerhardt,18,828
380,Jean-Paul Boëtius,28,2266
381,Alfonso Pedraza,21,1349
382,Xherdan Shaqiri,7,185
383,Rodri,35,2486
384,Davide Biraschi,24,1971
385,Borja Mayoral,34,2140
386,Corentin Tolisso,13,638
387,Andreas Pereira,25,1484
388,Miguel,7,232
389,Arturo Vidal,33,1671
390,Nicolò Barella,27,2013
391,Julian Baumgartlinger,27,1791
392,Pedro Bigas,23,1777
393,Dominique Heintz,28,2434
394,Iñaki Williams,38,2939
395,Ryan Sessegnon,6,342
396,Jack Stephens,28,2451
397,Wilfred Ndidi,32,2674
398,Robin Knoche,21,1594
399,Jean-Philippe Gbamin,2,136
400,Yves Bissouma,22,1259
401,Milot Rashica,28,2264
402,Juan Foyth,4,68
403,Carles Aleñá,17,735
404,Carles Aleñá,4,172
405,Alex Iwobi,25,1596
406,Håvard Nordtveit,11,701
407,Alberto Grassi,16,641
408,Toni Kroos,35,2652
409,Yerry Mina,29,2284
410,Coke,17,989
411,Giacomo Raspadori,11,264
412,Florian Lejeune,6,442
413,Kevin Akpoguma,18,1142
414,Ruben Vargas,33,2530
415,Berat Djimsiti,34,2783
416,Marc-André ter Stegen,36,3240
417,Andoni Gorosabel,14,714
418,Douglas Luiz,36,2612
419,Eduard Löwen,7,314
420,Eduard Löwen,16,671
421,Karim Benzema,37,3141
422,Janik Haberer,26,1721
423,Ángel Montoro,15,973
424,Paolo Ghiglione,25,1717
425,Matt Ritchie,18,1315
426,Niko Gießelmann,25,2057
427,Cristian Tello,27,787
428,Daley Sinkgraven,13,909
429,Angelo Ogbonna,31,2786
430,Jack Cork,30,2613
431,Borja Iglesias,35,1922
432,Ricardo Pereira,28,2520
433,Alessandro Bastoni,25,1921
434,Kingsley Ehizibue,31,2329
435,Emil Krafth,17,1020
436,Matteo Pessina,35,2489
437,José Callejón,33,2172
438,Juan Jesus,4,139
439,Tim Lemperle,1,16
440,Martin Ødegaard,31,2527
441,Emiliano Martínez,9,771
442,Rui Patrício,38,3420
443,Jarrod Bowen,13,917
444,Ondrej Duda,10,724
445,Ondrej Duda,7,447
446,Joe Gomez,28,2004
447,Alisson,29,2543
448,Quini,10,718
449,Adama Soumaoro,8,637
450,Ademola Lookman,11,309
451,Dedryck Boyata,28,2436
452,Christopher Nkunku,32,1925
453,Hamza Choudhury,20,893
454,Luca Ceppitelli,16,1246
455,Iago Aspas,37,3262
456,Nicola Sansone,33,2269
457,Gastón Pereiro,10,348
458,William Troost-Ekong,30,2576
459,Fikayo Tomori,15,1291
460,Chema,4,309
461,Fabinho,28,2079
462,Jorge Miramón,32,2432
463,Stefan Posch,28,2308
464,Daniel Podence,9,289
465,Davide Zappacosta,9,452
466,Daniel Maldini,2,27
