player,squad,comp,id
Robin Le Normand,Real Sociedad,1. La Liga,797
Mario Hermoso,Atlético Madrid,1. La Liga,798
Nicolas Pépé,Arsenal,1. Premier League,799
Yves Bissouma,Brighton,1. Premier League,800
Toni Kroos,Real Madrid,1. La Liga,801
Ángel Montoro,Granada,1. La Liga,802
Ayoze Pérez,Leicester City,1. Premier League,803
Benno Schmitz,Köln,1. Bundesliga,804
Javi López,Alavés,1. La Liga,805
Darwin Machís,Granada,1. La Liga,806
Kai Havertz,Leverkusen,1. Bundesliga,807
Fabinho,Liverpool,1. Premier League,808
Simon Kjær,Milan,1. Serie A,809
Édgar Méndez,Alavés,1. La Liga,810
Nicolò Barella,Inter,1. Serie A,811
Samuel Chukwueze,Villarreal,1. La Liga,812
Daniel Ginczek,Wolfsburg,1. Bundesliga,813
Mattia Bani,Bologna,1. Serie A,814
Mauro Arambarri,Getafe,1. La Liga,815
Reece Oxford,Augsburg,1. Bundesliga,816
Niklas Stark,Hertha BSC,1. Bundesliga,817
Kostas Manolas,Napoli,1. Serie A,818
Koke,Atlético Madrid,1. La Liga,819
Jason,Getafe,1. La Liga,820
Jacopo Da Riva,Atalanta,1. Serie A,821
Diogo Dalot,Manchester Utd,1. Premier League,822
Josuha Guilavogui,Wolfsburg,1. Bundesliga,823
Jaime Mata,Getafe,1. La Liga,824
Manu Vallejo,Valencia,1. La Liga,825
Theo Walcott,Everton,1. Premier League,826
Romelu Lukaku,Inter,1. Serie A,827
David Silva,Manchester City,1. Premier League,828
Rubén Rochina,Levante,1. La Liga,829
Raphaël Guerreiro,Dortmund,1. Bundesliga,830
Cengiz Ünder,Roma,1. Serie A,831
Timothy Castagne,Atalanta,1. Serie A,832
Cristian Ansaldi,Torino,1. Serie A,833
Marten de Roon,Atalanta,1. Serie A,834
Diego Demme,Napoli,1. Serie A,835
Stanislav Lobotka,Napoli,1. Serie A,836
Daichi Kamada,Eint Frankfurt,1. Bundesliga,837
Leon Bailey,Leverkusen,1. Bundesliga,838
Lucas Leiva,Lazio,1. Serie A,839
Eric Bailly,Manchester Utd,1. Premier League,840
Samu Castillejo,Milan,1. Serie A,841
Rubén Peña,Villarreal,1. La Liga,842
Antonio Barragán,Betis,1. La Liga,843
Aihen Muñoz,Real Sociedad,1. La Liga,844
Dwight McNeil,Burnley,1. Premier League,845
Youssef En-Nesyri,Leganés,1. La Liga,846
Diego Carlos,Sevilla,1. La Liga,847
Jonas Hector,Köln,1. Bundesliga,848
Mikel Merino,Real Sociedad,1. La Liga,849
James Tarkowski,Burnley,1. Premier League,850
Sergio Agüero,Manchester City,1. Premier League,851
Douglas Luiz,Aston Villa,1. Premier League,852
Tom Davies,Everton,1. Premier League,853
Jonathan Tah,Leverkusen,1. Bundesliga,854
Dani Ceballos,Arsenal,1. Premier League,855
Exequiel Palacios,Leverkusen,1. Bundesliga,856
Giorgos Kyriakopoulos,Sassuolo,1. Serie A,857
Jonjo Shelvey,Newcastle Utd,1. Premier League,858
Serge Gnabry,Bayern Munich,1. Bundesliga,859
Marc Bartra,Betis,1. La Liga,860
Danilo Cataldi,Lazio,1. Serie A,861
Michael Keane,Everton,1. Premier League,862
Joseph Aidoo,Celta Vigo,1. La Liga,863
Jérôme Boateng,Bayern Munich,1. Bundesliga,864
Federico Peluso,Sassuolo,1. Serie A,865
Ben Mee,Burnley,1. Premier League,866
