player,squad,comp,id
Jérôme Roussillon,Wolfsburg,1. Bundesliga,531
Edoardo Goldaniga,Genoa,1. Serie A,532
Mato Jajalo,Udinese,1. Serie A,533
Anthony Ujah,Union Berlin,1. Bundesliga,534
Steven Bergwijn,Tottenham,1. Premier League,535
Henrikh Mkhitaryan,Arsenal,1. Premier League,536
Achraf Hakimi,Dortmund,1. Bundesliga,537
Víctor Díaz,Granada,1. La Liga,538
Florin Andone,Brighton,1. Premier League,539
Niklas Süle,Bayern Munich,1. Bundesliga,540
Antonio Sanabria,Genoa,1. Serie A,541
Ansu Fati,Barcelona,1. La Liga,542
Ibrahima Konaté,RB Leipzig,1. Bundesliga,543
Kingsley Ehizibue,Köln,1. Bundesliga,544
Vicente Iborra,Villarreal,1. La Liga,545
Rafael Tolói,Atalanta,1. Serie A,546
Riccardo Orsolini,Bologna,1. Serie A,547
Nicola Sansone,Bologna,1. Serie A,548
Maximilian Eggestein,Werder Bremen,1. Bundesliga,549
Erik Thommy,Düsseldorf,1. Bundesliga,550
James Milner,Liverpool,1. Premier League,551
Lukáš Haraslín,Sassuolo,1. Serie A,552
Giacomo Raspadori,Sassuolo,1. Serie A,553
Alex Ferrari,Sampdoria,1. Serie A,554
Gianluigi Donnarumma,Milan,1. Serie A,555
Lucas Torreira,Arsenal,1. Premier League,556
Emil Krafth,Newcastle Utd,1. Premier League,557
Wilfried Singo,Torino,1. Serie A,558
Erik Durm,Eint Frankfurt,1. Bundesliga,559
Robin Koch,Freiburg,1. Bundesliga,560
Koray Günter,Hellas Verona,1. Serie A,561
Nahitan Nández,Cagliari,1. Serie A,562
Max Kilman,Wolves,1. Premier League,563
Ashley Barnes,Burnley,1. Premier League,564
