id,season,country,comp_level,lg_finish,squad,age,games,games_starts,mnts,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90
1d1691ad,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,3,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0
1d1691ad,2019-2020,ESP,1. La Liga,1st,Real Madrid,23,4,4,343,3.8,0,1,0,0,0,3,1,0,0.26,0.26,0
1d8e9add,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,27,11,11,960,10.7,0,0,0,0,0,2,0,0,0,0,0
1d8e9add,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,27,14,14,1105,12.3,0,0,0,0,0,3,0,0,0,0,0
1daec722,2019-2020,ESP,1. La Liga,8th,Getafe,21,37,37,3237,36,1,5,1,0,0,9,0,0.03,0.14,0.17,0.03
1e26e376,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,32,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1ea5f91c,2019-2020,ITA,1. Serie A,15th,Sampdoria,23,30,25,2095,23.3,2,4,2,0,0,8,0,0.09,0.17,0.26,0.09
1ecb65be,2019-2020,ENG,1. Premier League,12th,Everton,30,25,17,1287,14.3,2,3,2,0,0,1,0,0.14,0.21,0.35,0.14
1ef37668,2019-2020,ENG,1. Premier League,10th,Burnley,30,24,21,1878,20.9,0,4,0,0,0,2,0,0,0.19,0.19,0
1f079188,2019-2020,ESP,1. La Liga,5th,Villarreal,28,26,21,1909,21.2,2,2,2,0,0,5,0,0.09,0.09,0.19,0.09
1f44ac21,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,15,11,1063,11.8,13,2,13,0,0,0,0,1.1,0.17,1.27,1.1
1fb1c435,2019-2020,ESP,1. La Liga,9th,Valencia,28,27,23,1880,20.9,4,7,4,0,0,2,1,0.19,0.34,0.53,0.19
1fca9171,2019-2020,ITA,1. Serie A,20th,SPAL,25,20,13,1082,12,2,0,2,0,0,4,0,0.17,0,0.17,0.17
1fda91b3,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,17,2,1,51,0.6,0,0,0,0,0,1,0,0,0,0,0
1fe0492d,2019-2020,ESP,1. La Liga,16th,Alavés,23,31,30,2663,29.6,0,1,0,0,0,11,0,0,0.03,0.03,0
1fe67e86,2019-2020,ESP,1. La Liga,11th,Athletic Club,31,9,6,563,6.3,0,0,0,0,0,1,0,0,0,0,0
20030c06,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,26,12,9,856,9.5,1,0,1,0,0,0,0,0.11,0,0.11,0.11
200e89e1,2019-2020,ESP,1. La Liga,6th,Real Sociedad,17,17,3,442,4.9,0,0,0,0,0,1,0,0,0,0,0
20730eae,2019-2020,ITA,1. Serie A,6th,Milan,20,31,12,1404,15.6,6,1,6,0,0,0,0,0.38,0.06,0.45,0.38
20b3a502,2019-2020,ITA,1. Serie A,12th,Bologna,21,16,7,699,7.8,0,1,0,0,0,1,0,0,0.13,0.13,0
20b9f052,2019-2020,ITA,1. Serie A,5th,Roma,24,32,32,2880,32,0,0,0,0,0,3,0,0,0,0,0
