id,season,country,comp_level,lg_finish,squad,age,minutes_90s,tackles,tackles_won,pressures,pressure_regains,pressure_regain_pct,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors
7f78ad23,2019-2020,ITA,1. Serie A,6th,Milan,26,4.3,8,4,51,15,29.4,10,4,0,5,11,0
7fa4e703,2019-2020,GER,1. Bundesliga,2nd,Dortmund,16,3.9,5,4,80,18,22.5,4,0,0,1,1,0
7fcc71d8,2019-2020,ENG,1. Premier League,7th,Wolves,23,3.2,2,2,43,13,30.2,5,1,0,0,3,0
7fe12375,2019-2020,GER,1. Bundesliga,15th,Augsburg,32,10,0,0,0,0,NULL,0,0,0,0,1,0
7fe90ccd,2019-2020,ITA,1. Serie A,5th,Roma,27,5,7,3,68,15,22.1,8,0,0,2,8,0
7fec31a0,2019-2020,ENG,1. Premier League,18th,Bournemouth,29,14,28,20,356,92,25.8,38,11,0,12,27,0
801831fe,2019-2020,ITA,1. Serie A,6th,Milan,17,0.3,0,0,7,1,14.3,1,0,0,0,0,0
808d48f3,2019-2020,ESP,1. La Liga,9th,Valencia,31,15.4,26,18,149,39,26.2,37,6,0,8,64,0
80f36c88,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,29,30.4,76,53,459,134,29.2,31,7,0,19,51,0
810e3c74,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,26,10.4,13,9,336,80,23.8,9,1,0,6,1,0
81255c03,2019-2020,ITA,1. Serie A,14th,Cagliari,27,35,22,16,430,104,24.2,43,11,0,6,38,0
817c6964,2019-2020,ITA,1. Serie A,6th,Milan,25,6,17,11,116,40,34.5,7,0,0,5,2,0
819aa8e7,2019-2020,ENG,1. Premier League,5th,Leicester City,26,22.3,51,34,575,174,30.3,32,2,0,17,12,0
819b3158,2019-2020,ENG,1. Premier League,2nd,Manchester City,28,22.4,28,19,255,73,28.6,25,5,0,27,21,0
81d5c497,2019-2020,ESP,1. La Liga,5th,Villarreal,18,0.9,3,1,14,4,28.6,0,0,0,0,2,0
81f0781e,2019-2020,ESP,1. La Liga,5th,Villarreal,27,30.5,17,14,392,90,23,30,4,0,8,44,0
82328faf,2019-2020,ITA,1. Serie A,5th,Roma,22,1,0,0,0,0,NULL,0,0,0,0,0,0
82927de4,2019-2020,ENG,1. Premier League,16th,West Ham,23,24.1,42,29,597,156,26.1,51,1,0,15,10,0
