id,season,country,comp_level,lg_finish,squad,age,minutes_90s,cards_yellow,cards_red,fouls,fouled,offsides,crosses,aerials_won,aerials_won_pct
9b6f7fd5,2019-2020,ITA,1. Serie A,6th,Milan,21,12.3,7,0,27,33,3,11,23,41.1
9c94165b,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,24,19.3,7,0,28,14,4,24,32,58.2
9d4c45d6,2019-2020,ITA,1. Serie A,12th,Bologna,28,27.4,4,2,57,49,4,29,25,33.3
9d66fbe3,2019-2020,ESP,1. La Liga,7th,Granada,34,26.1,14,0,50,47,20,23,47,35.6
9dbb75ca,2019-2020,ENG,1. Premier League,8th,Arsenal,28,20.8,8,0,56,56,13,17,22,25.6
9dc96f10,2019-2020,ITA,1. Serie A,3rd,Atalanta,17,0.3,0,0,1,0,1,1,0,NULL
9deaf2c8,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,6.1,0,0,14,12,3,2,24,38.1
9e098912,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,21,0,0,0,0,0,0,0,0,NULL
9e1035f8,2019-2020,ESP,1. La Liga,9th,Valencia,19,25,5,0,27,42,16,81,39,49.4
9e1577aa,2019-2020,ITA,1. Serie A,2nd,Inter,26,17.5,3,0,21,22,3,83,4,22.2
9e525177,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,21,34.1,8,0,28,24,1,71,28,53.8
9f0ea33f,2019-2020,ESP,1. La Liga,5th,Villarreal,30,34,2,0,2,6,0,0,0,NULL
9f1893b9,2019-2020,ENG,1. Premier League,16th,West Ham,26,16.6,1,0,20,29,2,32,4,14.3
9f323c71,2019-2020,ESP,1. La Liga,11th,Athletic Club,30,6,1,0,9,3,2,13,7,35
9f472354,2019-2020,ENG,1. Premier League,11th,Southampton,32,15.5,0,0,35,26,12,21,114,47.3
9f5a610b,2019-2020,ITA,1. Serie A,15th,Sampdoria,24,2,1,0,1,0,0,0,0,NULL
9f7c837d,2019-2020,ENG,1. Premier League,20th,Norwich City,21,29.4,3,1,14,12,0,2,72,66.1
9f8e9423,2019-2020,ESP,1. La Liga,1st,Real Madrid,26,31.4,2,0,21,13,1,5,74,71.8
9f979eb2,2019-2020,GER,1. Bundesliga,14th,Köln,22,6.9,4,1,7,11,0,2,10,35.7
9fbbcf39,2019-2020,ENG,1. Premier League,7th,Wolves,29,30.1,12,1,46,24,2,7,117,64.3
9fec8860,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,25,10.3,2,0,19,12,1,35,21,58.3
a01c3d54,2019-2020,ESP,1. La Liga,12th,Levante,28,36,2,0,1,4,0,0,0,NULL
a0255c67,2019-2020,ESP,1. La Liga,5th,Villarreal,20,2.8,0,0,11,4,0,0,1,14.3
a0415710,2019-2020,GER,1. Bundesliga,14th,Köln,19,18.6,4,0,18,8,9,51,20,40
a0666d3e,2019-2020,ENG,1. Premier League,19th,Watford,24,25,9,0,64,48,1,32,25,47.2
a08b974a,2019-2020,ESP,1. La Liga,4th,Sevilla,25,30.5,10,1,48,64,11,81,30,44.1
a0b4bb3e,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,13.1,2,0,17,45,7,25,5,23.8
a111cf41,2019-2020,ITA,1. Serie A,13th,Udinese,25,38,1,0,1,3,0,0,0,NULL
a1232f4e,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,25,1.7,0,0,2,0,0,0,6,85.7
a167537f,2019-2020,GER,1. Bundesliga,2nd,Dortmund,23,24.5,0,0,15,28,2,23,16,43.2
a179d516,2019-2020,ENG,1. Premier League,4th,Chelsea,37,5,0,0,0,0,0,0,0,NULL
a1d5bd30,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,21,29.4,3,0,22,51,13,29,20,30.3
a29b1131,2019-2020,ENG,1. Premier League,6th,Tottenham,21,7.8,2,0,9,13,0,9,6,42.9
a2a85828,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,21,0.9,0,0,0,0,0,0,1,50
a2b105e0,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,21,15.3,2,1,19,29,0,20,12,37.5
a300ac7e,2019-2020,ESP,1. La Liga,16th,Alavés,30,27.7,4,0,27,22,23,64,11,26.2
a35134ae,2019-2020,ESP,1. La Liga,19th,Mallorca,27,9,3,1,11,5,0,0,25,62.5
a36084cd,2019-2020,ITA,1. Serie A,12th,Bologna,17,0.2,0,0,1,1,0,1,0,0
a39bb753,2019-2020,ESP,1. La Liga,1st,Real Madrid,28,12,0,0,12,59,2,18,5,55.6
a3b03921,2019-2020,ENG,1. Premier League,8th,Arsenal,19,9.5,2,0,12,18,0,12,9,37.5
a3d94a58,2019-2020,ITA,1. Serie A,17th,Genoa,21,28.6,15,1,54,23,2,5,76,66.1
a3ddb1b9,2019-2020,GER,1. Bundesliga,14th,Köln,27,12.9,5,0,25,35,3,23,12,30.8
a3ddb1b9,2019-2020,GER,1. Bundesliga,12th,Schalke 04,27,3.9,0,0,8,2,2,5,7,33.3
a40819d9,2019-2020,ITA,1. Serie A,9th,Hellas Verona,19,21.7,7,1,49,24,1,1,68,66
a4971d84,2019-2020,ESP,1. La Liga,8th,Getafe,27,34,5,0,45,26,1,6,96,61.9
a4995f48,2019-2020,ESP,1. La Liga,10th,Osasuna,26,18.4,2,1,0,7,0,0,0,NULL
a4ac4b8f,2019-2020,ENG,1. Premier League,7th,Wolves,28,22,3,1,28,10,1,0,73,73
a4e85758,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,6.8,2,0,9,5,1,2,11,91.7
a4e85758,2019-2020,ITA,1. Serie A,20th,SPAL,21,14.9,7,0,23,12,0,9,16,53.3
a4effc55,2019-2020,GER,1. Bundesliga,2nd,Dortmund,20,10.9,1,0,7,3,0,1,37,74
a4fe8cda,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,9.3,1,0,12,13,11,8,10,21.7
a4fe8cda,2019-2020,ENG,1. Premier League,7th,Wolves,21,3.3,0,0,5,10,4,6,5,19.2
a5296e55,2019-2020,ITA,1. Serie A,7th,Napoli,25,32.5,4,0,29,71,1,39,16,51.6
a53649b7,2019-2020,ENG,1. Premier League,8th,Arsenal,20,7,0,1,16,12,3,3,6,42.9
a53b661f,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,25,23.4,1,0,25,34,6,36,56,45.9
a55d8df5,2019-2020,ESP,1. La Liga,18th,Leganés,23,13.6,4,0,31,14,6,29,8,28.6
a58bb1e1,2019-2020,ESP,1. La Liga,1st,Real Madrid,30,12.1,4,1,18,12,5,51,22,64.7
a5ce09f2,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,26,0.8,0,0,2,1,0,2,0,NULL
