id,season,country,comp_level,lg_finish,squad,age,minutes_90s,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,pass_targets
c375dfa5,2019-2020,ITA,1. Serie A,18th,Lecce,28,6.1,184,23,91,76,32,3,4,75,9,3,234
c3ee18ef,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,10.2,925,345,538,108,13,10,11,90.9,5,9,703
c40b6180,2019-2020,ENG,1. Premier League,15th,Brighton,24,29.6,2175,1281,938,131,30,12,14,85.7,8,14,1425
c41f7379,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,34,4,179,178,1,0,0,0,0,NULL,0,0,74
c4e87b8b,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,26,30.4,1189,76,612,543,173,28,47,59.6,73,63,1581
c50cee19,2019-2020,ITA,1. Serie A,12th,Bologna,19,8.4,515,79,195,277,41,16,39,41,21,17,450
c56dc39e,2019-2020,ITA,1. Serie A,3rd,Atalanta,28,29,1980,766,1087,242,38,16,21,76.2,5,18,1333
c596fcb0,2019-2020,ENG,1. Premier League,18th,Bournemouth,27,32.3,881,68,345,517,176,24,48,50,105,55,1390
c5adc293,2019-2020,ITA,1. Serie A,7th,Napoli,28,4.2,340,66,162,130,3,5,5,100,4,1,247
c5b7c315,2019-2020,ENG,1. Premier League,12th,Everton,26,28.4,1720,1032,729,44,29,0,0,NULL,3,3,1064
c6608135,2019-2020,GER,1. Bundesliga,14th,Köln,19,0.2,16,1,6,10,3,0,2,0,1,0,13
c67cd65c,2019-2020,ESP,1. La Liga,12th,Levante,25,29,1492,850,664,41,17,4,6,66.7,6,2,833
c691bfe2,2019-2020,ENG,1. Premier League,1st,Liverpool,27,30.5,1590,125,629,1000,219,76,116,65.5,85,72,1843
c6e8cf1f,2019-2020,ITA,1. Serie A,16th,Torino,22,20.7,1030,213,612,285,31,19,34,55.9,22,16,801
c707411f,2019-2020,ITA,1. Serie A,7th,Napoli,28,24.2,1677,850,909,38,24,2,2,100,5,2,1220
c7259b83,2019-2020,ITA,1. Serie A,13th,Udinese,22,22.8,1245,272,624,391,48,13,30,43.3,20,19,905
c730da00,2019-2020,ITA,1. Serie A,5th,Roma,22,2.9,165,92,75,9,4,3,3,100,0,2,115
